56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s33            | hyp_per_s37            |    935 |    774 |    35.9% |      629
hyp_jbe_s26            | hyp_per_s13            |    944 |    922 |    35.8% |      717
hyp_jbe_s16            | hyp_per_s15            |    881 |    879 |    35.8% |      723
hyp_jbe_s11            | hyp_per_s35            |   1055 |    994 |    35.8% |      740
hyp_per_s18            | hyp_per_s32            |    859 |    984 |    35.8% |      701
hyp_per_s26            | hyp_per_s36            |    944 |    950 |    35.8% |      830
hyp_per_s23            | hyp_per_s37            |    949 |    774 |    35.8% |      685
hyp_jbe_s32            | hyp_per_s20            |    984 |    910 |    35.7% |      649
hyp_jbe_s23            | hyp_per_s34            |    949 |   1003 |    35.7% |      747
hyp_jbe_s18            | hyp_per_s32            |    859 |    984 |    35.7% |      672
hyp_jbe_s23            | hyp_jbe_s26            |    949 |    944 |    35.7% |      700
hyp_jbe_s29            | hyp_jbe_s37            |    999 |    774 |    35.7% |      552
hyp_per_s19            | hyp_per_s4             |    999 |    721 |    35.7% |      614
hyp_per_s29            | hyp_per_s4             |    999 |    721 |    35.7% |      614
hyp_per_s13            | hyp_per_s14            |    922 |    811 |    35.7% |      645
hyp_per_s17            | hyp_per_s28            |    926 |    892 |    35.6% |      769
hyp_jbe_s6             | hyp_per_s19            |    814 |    999 |    35.6% |      685
hyp_jbe_s6             | hyp_per_s29            |    814 |    999 |    35.6% |      685
hyp_jbe_s26            | hyp_jbe_s35            |    944 |    994 |    35.6% |      643
hyp_per_s10            | hyp_per_s34            |    852 |   1003 |    35.6% |      750
hyp_jbe_s29            | hyp_per_s4             |    999 |    721 |    35.6% |      599
hyp_per_s19            | hyp_per_s37            |    999 |    774 |    35.5% |      664
hyp_per_s29            | hyp_per_s37            |    999 |    774 |    35.5% |      664
hyp_jbe_s4             | hyp_per_s19            |    721 |    999 |    35.5% |      594
hyp_jbe_s4             | hyp_per_s29            |    721 |    999 |    35.5% |      594
hyp_jbe_s23            | hyp_jbe_s25            |    949 |   1072 |    35.5% |      679
hyp_jbe_s19            | hyp_jbe_s33            |    809 |    935 |    35.5% |      623
hyp_jbe_s4             | hyp_per_s17            |    721 |    926 |    35.4% |      599
hyp_jbe_s14            | hyp_per_s13            |    811 |    922 |    35.4% |      650
hyp_per_s13            | hyp_per_s30            |    922 |    938 |    35.3% |      790
hyp_per_s21            | hyp_per_s23            |    905 |    949 |    35.3% |      828
hyp_per_s15            | hyp_per_s31            |    879 |   1127 |    35.3% |      763
hyp_jbe_s25            | hyp_per_s31            |   1072 |   1127 |    35.2% |      837
hyp_jbe_s4             | hyp_per_s26            |    721 |    944 |    35.2% |      613
hyp_per_s34            | hyp_per_s36            |   1003 |    950 |    35.2% |      812
hyp_jbe_s2             | hyp_per_s32            |    818 |    984 |    35.2% |      656
hyp_jbe_s35            | hyp_per_s26            |    994 |    944 |    35.2% |      705
hyp_per_s24            | hyp_per_s5             |   1340 |   1080 |    35.2% |      862
hyp_per_s5             | hyp_per_s7             |   1080 |    896 |    35.1% |      777
hyp_jbe_s16            | hyp_per_s19            |    881 |    999 |    35.1% |      729
