56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s2             | hyp_per_s14            |    818 |    811 |    24.0% |      659
hyp_per_s27            | hyp_per_s36            |   1097 |    950 |    24.0% |      630
hyp_per_s2             | hyp_per_s28            |    818 |    892 |    23.9% |      719
hyp_jbe_s14            | hyp_per_s1             |    811 |    947 |    23.9% |      603
hyp_per_s3             | hyp_per_s6             |    944 |    814 |    23.9% |      712
hyp_per_s5             | hyp_per_s6             |   1080 |    814 |    23.9% |      700
hyp_jbe_s6             | hyp_per_s5             |    814 |   1080 |    23.9% |      675
hyp_per_s22            | hyp_per_s33            |    850 |    935 |    23.8% |      738
hyp_jbe_s23            | hyp_per_s38            |    949 |   1061 |    23.8% |      688
hyp_jbe_s26            | hyp_per_s15            |    944 |    879 |    23.8% |      718
hyp_per_s19            | hyp_per_s38            |    999 |   1061 |    23.8% |      781
hyp_per_s29            | hyp_per_s38            |    999 |   1061 |    23.8% |      781
hyp_jbe_s6             | hyp_per_s30            |    814 |    938 |    23.8% |      714
hyp_per_s12            | hyp_per_s19            |    948 |    999 |    23.8% |      819
hyp_per_s12            | hyp_per_s29            |    948 |    999 |    23.8% |      819
hyp_per_s13            | hyp_per_s36            |    922 |    950 |    23.8% |      752
hyp_jbe_s4             | hyp_per_s21            |    721 |    905 |    23.8% |      622
hyp_jbe_s10            | hyp_per_s32            |    852 |    984 |    23.8% |      723
hyp_jbe_s2             | hyp_per_s21            |    818 |    905 |    23.8% |      711
hyp_per_s19            | hyp_per_s20            |    999 |    910 |    23.8% |      787
hyp_per_s20            | hyp_per_s29            |    910 |    999 |    23.8% |      787
hyp_jbe_s14            | hyp_per_s4             |    811 |    721 |    23.7% |      590
hyp_per_s25            | hyp_per_s5             |   1072 |   1080 |    23.7% |      864
hyp_jbe_s10            | hyp_per_s6             |    852 |    814 |    23.7% |      726
hyp_jbe_s6             | hyp_per_s11            |    814 |   1055 |    23.7% |      667
hyp_per_s31            | hyp_per_s7             |   1127 |    896 |    23.7% |      790
hyp_jbe_s1             | hyp_jbe_s18            |    947 |    859 |    23.6% |      444
hyp_jbe_s14            | hyp_per_s8             |    811 |    882 |    23.6% |      698
hyp_jbe_s16            | hyp_per_s35            |    881 |    994 |    23.6% |      711
hyp_jbe_s16            | hyp_per_s22            |    881 |    850 |    23.6% |      707
hyp_per_s1             | hyp_per_s12            |    947 |    948 |    23.6% |      741
hyp_per_s2             | hyp_per_s21            |    818 |    905 |    23.6% |      750
hyp_per_s17            | hyp_per_s35            |    926 |    994 |    23.6% |      789
hyp_per_s1             | hyp_per_s9             |    947 |    993 |    23.6% |      734
hyp_per_s12            | hyp_per_s31            |    948 |   1127 |    23.6% |      819
hyp_jbe_s16            | hyp_jbe_s19            |    881 |    809 |    23.6% |      624
hyp_jbe_s19            | hyp_per_s16            |    809 |    881 |    23.6% |      658
hyp_jbe_s1             | hyp_jbe_s11            |    947 |   1055 |    23.6% |      450
hyp_per_s24            | hyp_per_s30            |   1340 |    938 |    23.6% |      777
hyp_per_s22            | hyp_per_s25            |    850 |   1072 |    23.5% |      688
hyp_per_s1             | hyp_per_s35            |    947 |    994 |    23.5% |      722
hyp_jbe_s19            | hyp_per_s28            |    809 |    892 |    23.5% |      646
hyp_jbe_s37            | hyp_per_s16            |    774 |    881 |    23.5% |      575
hyp_jbe_s1             | hyp_jbe_s25            |    947 |   1072 |    23.5% |      439
hyp_jbe_s2             | hyp_per_s28            |    818 |    892 |    23.5% |      682
hyp_jbe_s14            | hyp_jbe_s4             |    811 |    721 |    23.4% |      576
hyp_jbe_s16            | hyp_per_s18            |    881 |    859 |    23.4% |      696
hyp_jbe_s35            | hyp_per_s7             |    994 |    896 |    23.4% |      671
hyp_per_s22            | hyp_per_s36            |    850 |    950 |    23.4% |      731
hyp_per_s19            | hyp_per_s25            |    999 |   1072 |    23.4% |      808
hyp_per_s25            | hyp_per_s29            |   1072 |    999 |    23.4% |      808
hyp_per_s24            | hyp_per_s35            |   1340 |    994 |    23.4% |      757
hyp_jbe_s33            | hyp_per_s30            |    935 |    938 |    23.4% |      800
hyp_jbe_s4             | hyp_per_s27            |    721 |   1097 |    23.4% |      608
hyp_jbe_s23            | hyp_per_s14            |    949 |    811 |    23.3% |      643
hyp_per_s19            | hyp_per_s30            |    999 |    938 |    23.3% |      836
hyp_per_s29            | hyp_per_s30            |    999 |    938 |    23.3% |      836
hyp_jbe_s18            | hyp_per_s5             |    859 |   1080 |    23.3% |      686
hyp_per_s14            | hyp_per_s8             |    811 |    882 |    23.3% |      695
hyp_jbe_s19            | hyp_per_s29            |    809 |    999 |    23.3% |      649
hyp_per_s16            | hyp_per_s18            |    881 |    859 |    23.3% |      735
hyp_per_s27            | hyp_per_s4             |   1097 |    721 |    23.3% |      619
hyp_per_s13            | hyp_per_s17            |    922 |    926 |    23.2% |      757
hyp_per_s18            | hyp_per_s38            |    859 |   1061 |    23.2% |      654
hyp_per_s17            | hyp_per_s9             |    926 |    993 |    23.1% |      804
hyp_per_s18            | hyp_per_s6             |    859 |    814 |    23.1% |      692
hyp_per_s13            | hyp_per_s25            |    922 |   1072 |    23.1% |      714
hyp_per_s25            | hyp_per_s28            |   1072 |    892 |    23.1% |      714
hyp_per_s19            | hyp_per_s32            |    999 |    984 |    23.1% |      814
hyp_per_s29            | hyp_per_s32            |    999 |    984 |    23.1% |      814
hyp_per_s13            | hyp_per_s24            |    922 |   1340 |    23.1% |      702
hyp_jbe_s32            | hyp_per_s11            |    984 |   1055 |    23.0% |      677
hyp_jbe_s1             | hyp_per_s18            |    947 |    859 |    23.0% |      465
hyp_per_s15            | hyp_per_s3             |    879 |    944 |    23.0% |      766
hyp_jbe_s1             | hyp_per_s11            |    947 |   1055 |    23.0% |      479
hyp_per_s17            | hyp_per_s25            |    926 |   1072 |    22.9% |      754
hyp_jbe_s16            | hyp_per_s37            |    881 |    774 |    22.9% |      637
hyp_jbe_s11            | hyp_per_s16            |   1055 |    881 |    22.9% |      681
hyp_per_s22            | hyp_per_s7             |    850 |    896 |    22.9% |      756
hyp_jbe_s18            | hyp_per_s16            |    859 |    881 |    22.9% |      708
hyp_per_s16            | hyp_per_s22            |    881 |    850 |    22.9% |      748
hyp_per_s15            | hyp_per_s5             |    879 |   1080 |    22.9% |      757
hyp_per_s28            | hyp_per_s34            |    892 |   1003 |    22.8% |      766
hyp_jbe_s19            | hyp_jbe_s23            |    809 |    949 |    22.8% |      626
hyp_per_s2             | hyp_per_s9             |    818 |    993 |    22.8% |      727
hyp_jbe_s26            | hyp_per_s2             |    944 |    818 |    22.8% |      679
hyp_per_s22            | hyp_per_s5             |    850 |   1080 |    22.8% |      732
hyp_jbe_s11            | hyp_jbe_s16            |   1055 |    881 |    22.8% |      658
hyp_jbe_s25            | hyp_per_s17            |   1072 |    926 |    22.8% |      725
hyp_per_s16            | hyp_per_s23            |    881 |    949 |    22.7% |      774
hyp_jbe_s33            | hyp_per_s34            |    935 |   1003 |    22.7% |      779
hyp_jbe_s6             | hyp_per_s18            |    814 |    859 |    22.7% |      665
hyp_jbe_s16            | hyp_per_s10            |    881 |    852 |    22.7% |      705
hyp_per_s6             | hyp_per_s9             |    814 |    993 |    22.7% |      714
hyp_jbe_s37            | hyp_per_s27            |    774 |   1097 |    22.7% |      560
hyp_jbe_s32            | hyp_per_s10            |    984 |    852 |    22.7% |      613
hyp_jbe_s11            | hyp_per_s2             |   1055 |    818 |    22.7% |      666
hyp_per_s35            | hyp_per_s7             |    994 |    896 |    22.7% |      777
hyp_per_s18            | hyp_per_s33            |    859 |    935 |    22.6% |      733
hyp_per_s16            | hyp_per_s9             |    881 |    993 |    22.6% |      751
hyp_per_s27            | hyp_per_s9             |   1097 |    993 |    22.6% |      650
hyp_jbe_s1             | hyp_per_s32            |    947 |    984 |    22.6% |      482
hyp_jbe_s14            | hyp_per_s9             |    811 |    993 |    22.6% |      681
hyp_per_s33            | hyp_per_s34            |    935 |   1003 |    22.6% |      814
hyp_jbe_s10            | hyp_per_s28            |    852 |    892 |    22.6% |      745
hyp_jbe_s37            | hyp_per_s1             |    774 |    947 |    22.5% |      506
hyp_per_s30            | hyp_per_s35            |    938 |    994 |    22.5% |      826
hyp_jbe_s14            | hyp_jbe_s23            |    811 |    949 |    22.5% |      644
hyp_jbe_s29            | hyp_per_s2             |    999 |    818 |    22.5% |      702
hyp_per_s15            | hyp_per_s32            |    879 |    984 |    22.5% |      739
hyp_per_s13            | hyp_per_s6             |    922 |    814 |    22.5% |      677
hyp_per_s12            | hyp_per_s18            |    948 |    859 |    22.5% |      726
hyp_per_s18            | hyp_per_s27            |    859 |   1097 |    22.4% |      637
hyp_jbe_s1             | hyp_jbe_s19            |    947 |    809 |    22.4% |      410
hyp_jbe_s18            | hyp_jbe_s33            |    859 |    935 |    22.4% |      674
hyp_per_s30            | hyp_per_s33            |    938 |    935 |    22.4% |      835
hyp_jbe_s29            | hyp_per_s30            |    999 |    938 |    22.4% |      818
hyp_per_s2             | hyp_per_s31            |    818 |   1127 |    22.4% |      720
hyp_jbe_s11            | hyp_jbe_s2             |   1055 |    818 |    22.3% |      628
hyp_per_s37            | hyp_per_s8             |    774 |    882 |    22.3% |      673
hyp_per_s17            | hyp_per_s5             |    926 |   1080 |    22.3% |      790
hyp_jbe_s37            | hyp_per_s8             |    774 |    882 |    22.3% |      584
hyp_per_s28            | hyp_per_s9             |    892 |    993 |    22.3% |      764
hyp_jbe_s11            | hyp_per_s26            |   1055 |    944 |    22.2% |      760
hyp_jbe_s16            | hyp_jbe_s35            |    881 |    994 |    22.2% |      621
hyp_per_s10            | hyp_per_s28            |    852 |    892 |    22.2% |      739
hyp_jbe_s18            | hyp_per_s31            |    859 |   1127 |    22.2% |      694
hyp_jbe_s2             | hyp_per_s13            |    818 |    922 |    22.2% |      649
hyp_jbe_s2             | hyp_per_s31            |    818 |   1127 |    22.2% |      681
hyp_jbe_s33            | hyp_per_s24            |    935 |   1340 |    22.1% |      718
hyp_per_s10            | hyp_per_s13            |    852 |    922 |    22.1% |      714
hyp_per_s24            | hyp_per_s4             |   1340 |    721 |    22.1% |      556
hyp_per_s13            | hyp_per_s19            |    922 |    999 |    22.1% |      764
hyp_per_s13            | hyp_per_s29            |    922 |    999 |    22.1% |      764
hyp_per_s1             | hyp_per_s37            |    947 |    774 |    22.1% |      580
hyp_jbe_s1             | hyp_per_s13            |    947 |    922 |    22.0% |      472
hyp_jbe_s33            | hyp_per_s2             |    935 |    818 |    22.0% |      686
hyp_per_s19            | hyp_per_s2             |    999 |    818 |    22.0% |      718
hyp_per_s2             | hyp_per_s29            |    818 |    999 |    22.0% |      718
hyp_jbe_s10            | hyp_per_s38            |    852 |   1061 |    22.0% |      673
hyp_per_s1             | hyp_per_s22            |    947 |    850 |    22.0% |      655
hyp_per_s10            | hyp_per_s12            |    852 |    948 |    22.0% |      746
hyp_per_s16            | hyp_per_s36            |    881 |    950 |    21.9% |      743
hyp_jbe_s18            | hyp_per_s13            |    859 |    922 |    21.9% |      667
hyp_jbe_s33            | hyp_per_s32            |    935 |    984 |    21.9% |      755
hyp_per_s11            | hyp_per_s8             |   1055 |    882 |    21.9% |      755
hyp_jbe_s6             | hyp_per_s8             |    814 |    882 |    21.8% |      701
hyp_per_s1             | hyp_per_s21            |    947 |    905 |    21.8% |      715
hyp_per_s15            | hyp_per_s36            |    879 |    950 |    21.8% |      752
hyp_jbe_s10            | hyp_jbe_s32            |    852 |    984 |    21.8% |      624
hyp_per_s10            | hyp_per_s31            |    852 |   1127 |    21.8% |      739
hyp_jbe_s37            | hyp_per_s15            |    774 |    879 |    21.8% |      583
hyp_jbe_s32            | hyp_per_s17            |    984 |    926 |    21.8% |      666
hyp_per_s18            | hyp_per_s5             |    859 |   1080 |    21.8% |      717
hyp_jbe_s29            | hyp_per_s25            |    999 |   1072 |    21.7% |      791
hyp_per_s32            | hyp_per_s33            |    984 |    935 |    21.7% |      792
hyp_per_s1             | hyp_per_s26            |    947 |    944 |    21.7% |      752
hyp_jbe_s19            | hyp_per_s13            |    809 |    922 |    21.7% |      623
hyp_jbe_s19            | hyp_per_s32            |    809 |    984 |    21.7% |      623
hyp_per_s5             | hyp_per_s9             |   1080 |    993 |    21.6% |      846
hyp_jbe_s16            | hyp_per_s36            |    881 |    950 |    21.6% |      712
hyp_jbe_s14            | hyp_per_s28            |    811 |    892 |    21.6% |      680
hyp_per_s16            | hyp_per_s24            |    881 |   1340 |    21.6% |      694
hyp_per_s16            | hyp_per_s32            |    881 |    984 |    21.6% |      722
hyp_per_s28            | hyp_per_s3             |    892 |    944 |    21.6% |      774
hyp_jbe_s29            | hyp_jbe_s32            |    999 |    984 |    21.6% |      677
hyp_per_s11            | hyp_per_s37            |   1055 |    774 |    21.6% |      640
hyp_per_s13            | hyp_per_s15            |    922 |    879 |    21.5% |      730
hyp_jbe_s26            | hyp_per_s11            |    944 |   1055 |    21.5% |      735
hyp_per_s17            | hyp_per_s3             |    926 |    944 |    21.5% |      805
hyp_per_s13            | hyp_per_s37            |    922 |    774 |    21.5% |      638
hyp_jbe_s32            | hyp_per_s33            |    984 |    935 |    21.5% |      666
hyp_per_s14            | hyp_per_s31            |    811 |   1127 |    21.4% |      676
hyp_jbe_s16            | hyp_per_s32            |    881 |    984 |    21.4% |      690
hyp_jbe_s26            | hyp_per_s27            |    944 |   1097 |    21.4% |      616
hyp_per_s11            | hyp_per_s16            |   1055 |    881 |    21.4% |      733
hyp_jbe_s16            | hyp_per_s11            |    881 |   1055 |    21.4% |      705
hyp_per_s17            | hyp_per_s32            |    926 |    984 |    21.4% |      780
hyp_jbe_s25            | hyp_per_s7             |   1072 |    896 |    21.4% |      710
hyp_per_s11            | hyp_per_s2             |   1055 |    818 |    21.4% |      710
hyp_jbe_s6             | hyp_per_s9             |    814 |    993 |    21.4% |      687
hyp_jbe_s19            | hyp_jbe_s32            |    809 |    984 |    21.4% |      529
hyp_per_s13            | hyp_per_s22            |    922 |    850 |    21.4% |      707
hyp_jbe_s33            | hyp_per_s18            |    935 |    859 |    21.3% |      703
hyp_jbe_s19            | hyp_per_s20            |    809 |    910 |    21.3% |      652
hyp_jbe_s35            | hyp_per_s15            |    994 |    879 |    21.3% |      652
hyp_per_s2             | hyp_per_s33            |    818 |    935 |    21.3% |      718
hyp_per_s13            | hyp_per_s2             |    922 |    818 |    21.3% |      686
hyp_per_s14            | hyp_per_s23            |    811 |    949 |    21.3% |      701
hyp_per_s27            | hyp_per_s6             |   1097 |    814 |    21.3% |      654
hyp_jbe_s16            | hyp_jbe_s37            |    881 |    774 |    21.2% |      546
hyp_per_s14            | hyp_per_s28            |    811 |    892 |    21.2% |      678
hyp_per_s25            | hyp_per_s7             |   1072 |    896 |    21.2% |      740
hyp_jbe_s16            | hyp_per_s9             |    881 |    993 |    21.2% |      722
hyp_per_s24            | hyp_per_s33            |   1340 |    935 |    21.2% |      747
hyp_per_s3             | hyp_per_s5             |    944 |   1080 |    21.1% |      804
hyp_per_s27            | hyp_per_s30            |   1097 |    938 |    21.1% |      667
hyp_per_s21            | hyp_per_s7             |    905 |    896 |    21.1% |      814
hyp_per_s27            | hyp_per_s32            |   1097 |    984 |    21.1% |      606
hyp_jbe_s2             | hyp_per_s11            |    818 |   1055 |    21.1% |      668
hyp_per_s36            | hyp_per_s7             |    950 |    896 |    21.1% |      782
hyp_jbe_s11            | hyp_per_s8             |   1055 |    882 |    21.1% |      698
hyp_per_s3             | hyp_per_s33            |    944 |    935 |    21.0% |      813
hyp_jbe_s1             | hyp_per_s25            |    947 |   1072 |    21.0% |      466
hyp_jbe_s19            | hyp_per_s18            |    809 |    859 |    21.0% |      638
hyp_per_s2             | hyp_per_s3             |    818 |    944 |    21.0% |      719
hyp_jbe_s16            | hyp_jbe_s32            |    881 |    984 |    21.0% |      587
hyp_per_s13            | hyp_per_s18            |    922 |    859 |    21.0% |      692
hyp_jbe_s32            | hyp_jbe_s33            |    984 |    935 |    20.9% |      635
hyp_jbe_s23            | hyp_per_s24            |    949 |   1340 |    20.9% |      688
hyp_jbe_s29            | hyp_per_s13            |    999 |    922 |    20.9% |      746
hyp_jbe_s32            | hyp_per_s16            |    984 |    881 |    20.9% |      622
hyp_per_s24            | hyp_per_s38            |   1340 |   1061 |    20.9% |      780
hyp_jbe_s11            | hyp_per_s37            |   1055 |    774 |    20.9% |      608
hyp_jbe_s1             | hyp_per_s23            |    947 |    949 |    20.9% |      498
hyp_jbe_s37            | hyp_per_s17            |    774 |    926 |    20.9% |      575
hyp_per_s14            | hyp_per_s17            |    811 |    926 |    20.9% |      681
hyp_per_s3             | hyp_per_s37            |    944 |    774 |    20.8% |      658
hyp_jbe_s35            | hyp_per_s24            |    994 |   1340 |    20.8% |      663
hyp_per_s4             | hyp_per_s7             |    721 |    896 |    20.8% |      620
hyp_per_s22            | hyp_per_s32            |    850 |    984 |    20.8% |      712
hyp_jbe_s1             | hyp_per_s22            |    947 |    850 |    20.8% |      472
hyp_jbe_s11            | hyp_per_s27            |   1055 |   1097 |    20.7% |      593
hyp_jbe_s23            | hyp_per_s9             |    949 |    993 |    20.7% |      753
hyp_per_s20            | hyp_per_s24            |    910 |   1340 |    20.7% |      729
hyp_jbe_s26            | hyp_per_s1             |    944 |    947 |    20.7% |      681
hyp_per_s15            | hyp_per_s35            |    879 |    994 |    20.7% |      750
hyp_jbe_s2             | hyp_jbe_s29            |    818 |    999 |    20.7% |      668
hyp_jbe_s10            | hyp_per_s5             |    852 |   1080 |    20.6% |      741
hyp_per_s18            | hyp_per_s31            |    859 |   1127 |    20.6% |      722
hyp_jbe_s33            | hyp_per_s3             |    935 |    944 |    20.6% |      785
hyp_jbe_s35            | hyp_per_s1             |    994 |    947 |    20.6% |      616
hyp_per_s23            | hyp_per_s27            |    949 |   1097 |    20.6% |      666
hyp_per_s1             | hyp_per_s18            |    947 |    859 |    20.5% |      648
hyp_per_s6             | hyp_per_s8             |    814 |    882 |    20.5% |      726
hyp_jbe_s10            | hyp_per_s31            |    852 |   1127 |    20.5% |      746
hyp_per_s2             | hyp_per_s36            |    818 |    950 |    20.5% |      707
hyp_jbe_s19            | hyp_per_s4             |    809 |    721 |    20.5% |      590
hyp_per_s22            | hyp_per_s34            |    850 |   1003 |    20.5% |      751
hyp_jbe_s35            | hyp_per_s17            |    994 |    926 |    20.5% |      678
hyp_jbe_s14            | hyp_per_s17            |    811 |    926 |    20.5% |      674
hyp_per_s15            | hyp_per_s37            |    879 |    774 |    20.5% |      674
hyp_jbe_s2             | hyp_per_s3             |    818 |    944 |    20.4% |      686
hyp_per_s15            | hyp_per_s19            |    879 |    999 |    20.3% |      762
hyp_per_s15            | hyp_per_s29            |    879 |    999 |    20.3% |      762
hyp_jbe_s29            | hyp_per_s1             |    999 |    947 |    20.3% |      718
hyp_jbe_s6             | hyp_per_s3             |    814 |    944 |    20.3% |      684
hyp_per_s11            | hyp_per_s24            |   1055 |   1340 |    20.3% |      827
hyp_jbe_s2             | hyp_per_s19            |    818 |    999 |    20.3% |      680
hyp_jbe_s2             | hyp_per_s29            |    818 |    999 |    20.3% |      680
hyp_jbe_s32            | hyp_per_s22            |    984 |    850 |    20.3% |      616
hyp_per_s1             | hyp_per_s32            |    947 |    984 |    20.3% |      710
hyp_per_s26            | hyp_per_s27            |    944 |   1097 |    20.3% |      661
hyp_per_s13            | hyp_per_s16            |    922 |    881 |    20.2% |      721
hyp_jbe_s4             | hyp_per_s1             |    721 |    947 |    20.2% |      521
hyp_per_s11            | hyp_per_s26            |   1055 |    944 |    20.1% |      814
hyp_per_s1             | hyp_per_s13            |    947 |    922 |    20.1% |      685
hyp_per_s1             | hyp_per_s19            |    947 |    999 |    20.1% |      735
hyp_per_s1             | hyp_per_s29            |    947 |    999 |    20.1% |      735
hyp_per_s11            | hyp_per_s23            |   1055 |    949 |    20.1% |      792
hyp_jbe_s16            | hyp_jbe_s2             |    881 |    818 |    20.1% |      648
hyp_jbe_s19            | hyp_per_s23            |    809 |    949 |    20.1% |      673
hyp_jbe_s18            | hyp_per_s24            |    859 |   1340 |    20.0% |      639
hyp_jbe_s2             | hyp_jbe_s33            |    818 |    935 |    20.0% |      659
hyp_jbe_s32            | hyp_per_s19            |    984 |    999 |    20.0% |      691
hyp_jbe_s32            | hyp_per_s29            |    984 |    999 |    20.0% |      691
hyp_jbe_s11            | hyp_jbe_s37            |   1055 |    774 |    20.0% |      531
hyp_per_s17            | hyp_per_s37            |    926 |    774 |    19.9% |      662
hyp_jbe_s14            | hyp_per_s24            |    811 |   1340 |    19.9% |      632
hyp_jbe_s37            | hyp_per_s11            |    774 |   1055 |    19.9% |      557
hyp_jbe_s32            | hyp_per_s27            |    984 |   1097 |    19.9% |      527
hyp_per_s24            | hyp_per_s6             |   1340 |    814 |    19.9% |      653
hyp_jbe_s2             | hyp_per_s36            |    818 |    950 |    19.9% |      669
hyp_jbe_s2             | hyp_per_s25            |    818 |   1072 |    19.9% |      639
hyp_jbe_s19            | hyp_per_s35            |    809 |    994 |    19.8% |      646
hyp_jbe_s19            | hyp_per_s1             |    809 |    947 |    19.8% |      582
hyp_per_s10            | hyp_per_s5             |    852 |   1080 |    19.8% |      739
hyp_per_s15            | hyp_per_s34            |    879 |   1003 |    19.7% |      760
hyp_per_s2             | hyp_per_s25            |    818 |   1072 |    19.7% |      674
hyp_jbe_s4             | hyp_per_s24            |    721 |   1340 |    19.7% |      543
hyp_per_s14            | hyp_per_s24            |    811 |   1340 |    19.7% |      630
hyp_per_s18            | hyp_per_s24            |    859 |   1340 |    19.7% |      671
hyp_jbe_s18            | hyp_per_s1             |    859 |    947 |    19.6% |      616
hyp_jbe_s16            | hyp_per_s2             |    881 |    818 |    19.6% |      683
hyp_per_s1             | hyp_per_s11            |    947 |   1055 |    19.6% |      705
hyp_jbe_s18            | hyp_jbe_s35            |    859 |    994 |    19.6% |      598
hyp_jbe_s32            | hyp_per_s15            |    984 |    879 |    19.6% |      634
hyp_jbe_s16            | hyp_per_s27            |    881 |   1097 |    19.5% |      619
hyp_per_s23            | hyp_per_s24            |    949 |   1340 |    19.5% |      742
hyp_jbe_s16            | hyp_per_s24            |    881 |   1340 |    19.5% |      661
hyp_jbe_s19            | hyp_per_s8             |    809 |    882 |    19.5% |      661
hyp_per_s24            | hyp_per_s31            |   1340 |   1127 |    19.5% |      907
hyp_jbe_s18            | hyp_per_s22            |    859 |    850 |    19.5% |      697
hyp_jbe_s2             | hyp_per_s16            |    818 |    881 |    19.5% |      692
hyp_jbe_s32            | hyp_per_s1             |    984 |    947 |    19.5% |      605
hyp_per_s17            | hyp_per_s2             |    926 |    818 |    19.5% |      724
hyp_per_s24            | hyp_per_s25            |   1340 |   1072 |    19.5% |      817
hyp_jbe_s16            | hyp_per_s8             |    881 |    882 |    19.4% |      736
hyp_per_s17            | hyp_per_s19            |    926 |    999 |    19.4% |      799
hyp_per_s17            | hyp_per_s29            |    926 |    999 |    19.4% |      799
hyp_per_s22            | hyp_per_s3             |    850 |    944 |    19.4% |      744
hyp_per_s11            | hyp_per_s27            |   1055 |   1097 |    19.3% |      626
hyp_jbe_s19            | hyp_jbe_s35            |    809 |    994 |    19.3% |      564
hyp_per_s12            | hyp_per_s15            |    948 |    879 |    19.3% |      766
hyp_jbe_s4             | hyp_per_s7             |    721 |    896 |    19.3% |      606
hyp_jbe_s19            | hyp_jbe_s4             |    809 |    721 |    19.3% |      575
hyp_per_s24            | hyp_per_s27            |   1340 |   1097 |    19.3% |      591
hyp_jbe_s6             | hyp_per_s24            |    814 |   1340 |    19.3% |      628
hyp_per_s12            | hyp_per_s36            |    948 |    950 |    19.3% |      810
hyp_per_s8             | hyp_per_s9             |    882 |    993 |    19.2% |      775
hyp_per_s4             | hyp_per_s9             |    721 |    993 |    19.2% |      619
hyp_jbe_s1             | hyp_per_s8             |    947 |    882 |    19.2% |      489
hyp_jbe_s14            | hyp_per_s31            |    811 |   1127 |    19.2% |      677
hyp_jbe_s18            | hyp_jbe_s19            |    859 |    809 |    19.2% |      615
hyp_jbe_s29            | hyp_per_s17            |    999 |    926 |    19.1% |      784
hyp_per_s15            | hyp_per_s4             |    879 |    721 |    19.1% |      628
hyp_per_s23            | hyp_per_s31            |    949 |   1127 |    19.1% |      806
hyp_jbe_s11            | hyp_per_s24            |   1055 |   1340 |    19.1% |      770
hyp_per_s1             | hyp_per_s17            |    947 |    926 |    19.1% |      718
hyp_per_s1             | hyp_per_s4             |    947 |    721 |    19.1% |      540
hyp_jbe_s1             | hyp_jbe_s32            |    947 |    984 |    19.1% |      409
hyp_jbe_s11            | hyp_per_s7             |   1055 |    896 |    19.1% |      708
hyp_per_s22            | hyp_per_s24            |    850 |   1340 |    19.1% |      682
hyp_jbe_s1             | hyp_per_s6             |    947 |    814 |    19.0% |      452
hyp_jbe_s37            | hyp_per_s3             |    774 |    944 |    19.0% |      568
hyp_jbe_s19            | hyp_per_s5             |    809 |   1080 |    19.0% |      643
hyp_per_s13            | hyp_per_s20            |    922 |    910 |    19.0% |      754
hyp_jbe_s29            | hyp_per_s15            |    999 |    879 |    19.0% |      744
hyp_jbe_s1             | hyp_jbe_s6             |    947 |    814 |    18.9% |      434
hyp_jbe_s16            | hyp_per_s13            |    881 |    922 |    18.9% |      694
hyp_per_s13            | hyp_per_s38            |    922 |   1061 |    18.8% |      690
hyp_per_s15            | hyp_per_s24            |    879 |   1340 |    18.8% |      701
hyp_per_s1             | hyp_per_s24            |    947 |   1340 |    18.8% |      675
hyp_per_s24            | hyp_per_s8             |   1340 |    882 |    18.8% |      718
hyp_jbe_s11            | hyp_per_s1             |   1055 |    947 |    18.8% |      661
hyp_jbe_s4             | hyp_per_s15            |    721 |    879 |    18.7% |      609
hyp_jbe_s25            | hyp_per_s1             |   1072 |    947 |    18.7% |      658
hyp_per_s17            | hyp_per_s22            |    926 |    850 |    18.7% |      739
hyp_per_s38            | hyp_per_s8             |   1061 |    882 |    18.7% |      686
hyp_jbe_s6             | hyp_per_s1             |    814 |    947 |    18.6% |      606
hyp_jbe_s19            | hyp_per_s22            |    809 |    850 |    18.6% |      676
hyp_jbe_s6             | hyp_per_s27            |    814 |   1097 |    18.6% |      628
hyp_per_s36            | hyp_per_s38            |    950 |   1061 |    18.6% |      741
hyp_jbe_s1             | hyp_per_s36            |    947 |    950 |    18.5% |      496
hyp_jbe_s2             | hyp_per_s33            |    818 |    935 |    18.5% |      686
hyp_per_s1             | hyp_per_s6             |    947 |    814 |    18.5% |      627
hyp_per_s16            | hyp_per_s2             |    881 |    818 |    18.5% |      730
hyp_jbe_s14            | hyp_per_s23            |    811 |    949 |    18.5% |      699
hyp_jbe_s1             | hyp_per_s28            |    947 |    892 |    18.4% |      472
hyp_per_s1             | hyp_per_s23            |    947 |    949 |    18.3% |      715
hyp_jbe_s10            | hyp_per_s27            |    852 |   1097 |    18.3% |      656
hyp_per_s17            | hyp_per_s38            |    926 |   1061 |    18.3% |      722
hyp_per_s1             | hyp_per_s25            |    947 |   1072 |    18.2% |      686
hyp_per_s27            | hyp_per_s38            |   1097 |   1061 |    18.2% |      577
hyp_jbe_s10            | hyp_per_s12            |    852 |    948 |    18.1% |      750
hyp_per_s24            | hyp_per_s3             |   1340 |    944 |    18.1% |      757
hyp_per_s17            | hyp_per_s20            |    926 |    910 |    18.1% |      796
hyp_per_s18            | hyp_per_s22            |    859 |    850 |    18.1% |      725
hyp_per_s12            | hyp_per_s28            |    948 |    892 |    18.0% |      767
hyp_per_s16            | hyp_per_s27            |    881 |   1097 |    17.9% |      652
hyp_per_s10            | hyp_per_s27            |    852 |   1097 |    17.9% |      658
