state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
NREM,O1,-0.8855171453565994,0.03753256003105292,-0.876334610238858,-0.758043758043758,36
NREM,O2,-0.8880860970426832,0.03584480493964439,-0.8817091729768628,-0.7984555984555984,36
NREM,F3,-0.8651505519950177,0.04057226936109051,-0.8468387510036288,-0.8442728442728443,36
NREM,F4,-0.8652641099491841,0.04109973293559859,-0.8563874177152978,-0.8767052767052768,36
NREM,P3,-0.8875926251953403,0.033474320249593535,-0.87435500569595,-0.7637065637065638,36
NREM,P4,-0.8896793243838302,0.03346773808553396,-0.8798349618433574,-0.757014157014157,36
NREM,FC1,-0.8611506102312427,0.038320320481914104,-0.8481561750735193,-0.8494208494208494,36
NREM,FC2,-0.8607750937909229,0.03965570447706629,-0.8525028927474714,-0.88005148005148,36
NREM,CP1,-0.880433530614642,0.03388624639832828,-0.8723737914786901,-0.8507078507078507,36
NREM,CP2,-0.8811540432742596,0.03285332670296573,-0.8753279231366962,-0.8540540540540541,36
