state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
NREM,O1,-0.8842139748903325,0.045509870382498666,-0.8664885647063892,-0.7284427284427284,36
NREM,O2,-0.8795982138295712,0.048928701128129734,-0.8608274518255478,-0.7323037323037324,36
NREM,F3,-0.7879068351619183,0.0822281405089959,-0.7730485537855343,-0.7935649935649935,36
NREM,F4,-0.7792138908780616,0.07838524048534752,-0.7693595991489515,-0.7158301158301158,36
NREM,P3,-0.8678318406272822,0.055627367085221806,-0.870245117437408,-0.7927927927927928,36
NREM,P4,-0.8683294587312071,0.054868299737995424,-0.8643456745405951,-0.7302445302445303,36
NREM,FC1,-0.8305451027727202,0.06764005393275531,-0.7962699396704159,-0.6628056628056628,36
NREM,FC2,-0.8290020490591474,0.06726312242805581,-0.8057321813764523,-0.6537966537966537,36
NREM,CP1,-0.8620442349865722,0.05420908626863738,-0.8559524611857131,-0.8023166023166023,36
NREM,CP2,-0.8666030000056856,0.05498635864877785,-0.8602706379946539,-0.7866151866151866,36
